date, pm25, pm10, o3, no2, so2, co
2018/5/24, , 16, 40, 3, , 
2018/5/25, , 13, 41, 3, , 
2018/5/26, , 14, 33, 2, , 
2018/5/27, , 22, 26, 3, , 
2018/5/28, , 16, 21, 2, , 
2018/5/29, , 12, 31, 2, , 
2018/5/30, , 7, 31, 1, , 
2018/5/31, , 7, 28, 2, , 
2018/6/1, , 7, 34, 2, , 
2018/6/2, , 8, 33, 2, , 
2018/6/3, , 5, 37, 1, , 
2018/6/4, , 7, 33, 1, , 
2018/6/5, , 6, 32, 2, , 
2018/6/6, , 5, 29, 1, , 
2018/6/7, , 3, 27, 2, , 
2018/6/8, , 4, 37, 2, , 
2018/6/9, , 3, 33, 2, , 
2018/6/10, , 6, 32, 2, , 
2018/6/11, , 8, 23, 1, , 
2018/6/12, , 6, 28, 1, , 
2018/6/13, , 5, 37, 3, , 
2018/6/14, , 7, 33, 1, , 
2018/6/15, , 12, 30, 1, , 
2018/6/16, , 11, 22, 2, , 
2018/6/17, , 11, 19, 1, , 
2018/6/18, , 9, 25, , , 
2018/6/19, , 7, 25, 1, , 
2018/6/20, , 6, 28, 2, , 
2018/6/21, , 6, 39, 3, , 
2018/6/22, , 11, 28, 1, , 
2018/6/23, , 14, 29, 1, , 
2018/6/24, , 9, 35, 2, , 
2018/6/25, , 9, 40, 1, , 
2018/6/26, , 12, 44, 3, , 
2018/6/27, , 16, 46, 4, , 
2018/6/28, , 17, 41, 2, , 
2018/6/29, , 21, 32, 1, , 
2018/6/30, , 13, 33, 2, , 
2018/7/1, , 15, 43, 2, , 
2018/2/15, , 6, 20, 5, , 
2018/2/16, , 7, 9, 9, , 
2018/2/17, , 13, 9, 10, , 
2018/2/18, , 10, 22, 5, , 
2018/2/19, , 7, 30, 4, , 
2018/2/20, , 5, 29, 5, , 
2018/2/21, , 4, 28, 4, , 
2018/2/22, , 5, 29, 4, , 
2018/2/23, , 16, 32, 6, , 
2018/2/24, , 24, 26, 9, , 
2018/2/25, , 29, 29, 11, , 
2018/2/26, , 31, 33, 6, , 
2018/2/27, , 29, 32, 6, , 
2018/2/28, , 23, 30, 7, , 
2018/3/1, , 22, 23, 9, , 
2018/3/2, , 25, 30, 9, , 
2018/3/3, , 13, 34, 8, , 
2018/3/4, , 9, 39, 5, , 
2018/3/5, , 8, 34, 4, , 
2018/3/6, , 9, 25, 10, , 
2018/3/7, , 8, 33, 7, , 
2018/3/8, , 7, 32, 6, , 
2018/3/9, , 8, 33, 11, , 
2018/3/10, , 12, 18, 15, , 
2018/3/11, , 13, 31, 4, , 
2018/3/12, , 6, 35, 3, , 
2018/3/13, , 7, 35, 5, , 
2018/3/14, , 12, 34, 7, , 
2018/3/15, , 11, 33, 9, , 
2018/3/16, , 6, 40, 5, , 
2018/3/17, , 5, 34, 5, , 
2018/3/18, , 8, 32, 5, , 
2018/3/19, , 8, 38, 4, , 
2018/3/20, , 8, 34, 7, , 
2018/3/21, , 8, 26, 6, , 
2018/3/22, , 18, 31, 6, , 
2018/3/23, , 14, 34, 6, , 
2018/3/24, , 15, 36, 8, , 
2018/3/25, , 14, 37, 5, , 
2018/3/26, , 6, 35, 5, , 
2018/3/27, , 7, 35, 5, , 
2018/3/28, , 8, 27, 3, , 
2018/3/29, , 7, 24, 4, , 
2018/3/30, , 5, 37, 4, , 
2018/3/31, , 4, 40, 4, , 
2018/4/1, , 3, 39, 3, , 
2015/10/2, , 8, 31, 5, , 
2015/10/3, , 7, 36, 3, , 
2015/10/4, , 7, 16, 6, , 
2015/10/5, , 9, 14, 7, , 
2015/10/6, , 12, 29, 3, , 
2015/10/7, , 7, 30, 3, , 
2015/10/8, , 6, 26, 4, , 
2015/10/9, , 9, 27, 5, , 
2015/10/10, , 8, 29, 7, , 
2015/10/11, , 7, 32, 4, , 
2015/10/12, , 12, 29, 6, , 
2015/10/13, , 18, 23, 2, , 
2015/10/14, , 9, , , , 
2015/7/2, , 28, 29, 2, , 
2015/7/3, , 23, 67, 4, , 
2015/7/4, , 12, 45, 1, , 
2015/7/5, , 29, 21, 1, , 
2015/7/6, , 21, 45, 3, , 
2015/7/7, , 25, 39, 2, , 
2015/7/8, , 19, 25, 2, , 
2015/7/9, , 12, 40, 2, , 
2015/7/10, , 11, 53, 3, , 
2015/7/11, , 13, 35, 1, , 
2015/7/12, , 15, 27, 1, , 
2015/7/13, , 11, 39, 2, , 
2015/7/14, , 12, 42, 3, , 
2015/7/15, , 13, 39, 5, , 
2015/7/16, , 14, 44, 5, , 
2015/7/17, , 21, 42, 3, , 
2015/7/18, , 20, 47, 3, , 
2015/7/19, , 17, 32, 2, , 
2015/7/20, , 14, 47, 3, , 
2015/7/21, , 14, 39, 3, , 
2015/7/22, , 15, 30, 2, , 
2015/7/23, , 14, 30, 2, , 
2015/7/24, , 5, 32, 2, , 
2015/7/25, , 12, 33, 1, , 
2015/7/26, , 10, 36, 2, , 
2015/7/27, , 11, 24, 1, , 
2015/7/28, , 11, 30, 2, , 
2015/7/29, , 10, 17, 3, , 
2015/7/30, , 10, 27, 3, , 
2015/7/31, , 4, 26, 3, , 
2015/8/1, , 6, 38, 2, , 
2015/8/2, , 6, 44, 3, , 
2015/8/3, , 8, 49, 3, , 
2015/8/4, , 16, 28, 3, , 
2015/8/5, , 11, 45, 2, , 
2015/8/6, , 15, 34, 2, , 
2015/8/7, , 20, 28, 2, , 
2015/8/8, , 19, 22, 2, , 
2015/8/9, , 7, 27, 1, , 
2015/8/10, , 7, 41, 3, , 
2015/8/11, , 11, 42, 5, , 
2015/8/12, , 9, 49, 3, , 
2015/8/13, , 21, 33, 2, , 
2015/8/14, , 15, 28, 2, , 
2015/8/15, , 5, 24, 2, , 
2015/8/16, , 11, 32, 2, , 
2015/8/17, , 9, 31, 3, , 
2015/8/18, , 13, 32, 2, , 
2015/8/19, , 12, 35, 3, , 
2015/8/20, , 10, 39, 5, , 
2015/8/21, , 8, 33, 5, , 
2015/8/22, , 6, 39, 3, , 
2015/8/23, , 12, 30, 1, , 
2015/8/24, , 7, 28, 2, , 
2015/8/25, , 9, 36, 4, , 
2015/8/26, , 13, 46, 2, , 
2015/8/27, , 9, 48, 5, , 
2015/8/28, , 15, 43, 5, , 
2015/8/29, , 15, 50, 3, , 
2015/8/30, , 15, 46, 2, , 
2015/8/31, , 16, 38, 3, , 
2015/9/1, , 27, 29, 1, , 
2015/9/2, , 10, 30, 3, , 
2015/9/3, , 9, 29, 3, , 
2015/9/4, , 9, 29, 3, , 
2015/9/5, , 4, 33, 2, , 
2015/9/6, , 7, 35, 3, , 
2015/9/7, , 7, 33, 5, , 
2015/9/8, , 8, 38, 5, , 
2015/9/9, , 11, 40, 6, , 
2015/9/10, , 13, 38, 4, , 
2015/9/11, , 11, 37, 4, , 
2015/9/12, , 10, 32, 3, , 
2015/9/13, , 11, 25, 3, , 
2015/9/14, , 8, 27, 3, , 
2015/9/15, , 10, 14, 6, , 
2015/9/16, , 10, 27, 2, , 
2015/9/17, , 8, 28, 2, , 
2015/9/18, , 8, 29, 4, , 
2015/9/19, , 5, 33, 2, , 
2015/9/20, , 6, 32, 2, , 
2015/9/21, , 4, 37, 5, , 
2015/9/22, , 7, 29, 3, , 
2015/9/23, , 7, 31, 3, , 
2015/9/24, , 4, 29, 4, , 
2015/9/25, , 8, 31, 5, , 
2015/9/26, , 11, 32, 5, , 
2015/9/27, , 8, 27, 3, , 
2015/9/28, , 9, 31, 6, , 
2015/9/29, , 12, 9, 4, , 
2015/9/30, , 10, 10, 4, , 
2015/10/1, , 13, 36, 3, , 
2015/4/2, , 10, 24, 6, , 
2015/4/3, , 13, 11, 5, , 
2015/4/4, , 15, 14, 3, , 
2015/4/5, , 5, 12, 2, , 
2015/4/6, , 7, 15, 4, , 
2015/4/7, , 11, 17, 8, , 
2015/4/8, , 16, 44, 8, , 
2015/4/9, , 19, 45, 9, , 
2015/4/10, , 27, 43, 7, , 
2015/4/11, , 21, 36, 5, , 
2015/4/12, , 21, 42, 4, , 
2015/4/13, , 11, 41, 3, , 
2015/4/14, , 24, 44, 2, , 
2015/4/15, , 21, 42, 3, , 
2015/4/16, , 35, 38, 4, , 
2015/4/17, , 23, 34, 4, , 
2015/4/18, , 16, 32, 3, , 
2015/4/19, , 10, 36, 2, , 
2015/4/20, , 5, 36, 4, , 
2015/4/21, , 5, 40, 5, , 
2015/4/22, , 7, 39, 7, , 
2015/4/23, , 11, 37, 3, , 
2015/4/24, , 8, 45, 3, , 
2015/4/25, , 7, 39, 4, , 
2015/4/26, , 11, 28, 3, , 
2015/4/27, , 7, 32, 3, , 
2015/4/28, , 6, 36, 4, , 
2015/4/29, , 8, 35, 5, , 
2015/4/30, , 12, 37, 6, , 
2015/5/1, , 11, 21, 5, , 
2015/5/2, , 9, 25, 3, , 
2015/5/3, , 9, 18, 6, , 
2015/5/4, , 11, 31, 5, , 
2015/5/5, , 9, 34, 3, , 
2015/5/6, , 14, 38, 3, , 
2015/5/7, , 10, 40, 4, , 
2015/5/8, , 10, 40, 2, , 
2015/5/9, , 15, 33, 2, , 
2015/5/10, , 11, 41, 2, , 
2015/5/11, , 9, 45, 3, , 
2015/5/12, , 22, 40, 3, , 
2015/5/13, , 21, 39, 6, , 
2015/5/14, , 32, 33, 2, , 
2015/5/15, , 14, 35, 1, , 
2015/5/16, , 9, 38, 2, , 
2015/5/17, , 11, 31, 2, , 
2015/5/18, , 8, 36, 2, , 
2015/5/19, , 13, 32, 3, , 
2015/5/20, , 7, 33, 2, , 
2015/5/21, , 6, 35, 2, , 
2015/5/22, , 6, 41, 2, , 
2015/5/23, , 9, 37, 2, , 
2015/5/24, , 15, 32, 2, , 
2015/5/25, , 22, 25, 1, , 
2015/5/26, , 5, 32, 2, , 
2015/5/27, , 8, 43, 3, , 
2015/5/28, , 9, 47, 3, , 
2015/5/29, , 10, 33, 2, , 
2015/5/30, , 13, 31, 1, , 
2015/5/31, , 10, 34, 1, , 
2015/6/1, , 8, 26, 3, , 
2015/6/2, , 12, 35, 2, , 
2015/6/3, , 12, 30, 2, , 
2015/6/4, , 19, 46, 4, , 
2015/6/5, , 16, 47, 3, , 
2015/6/6, , 18, 31, 2, , 
2015/6/7, , 12, 41, 1, , 
2015/6/8, , 11, 44, 2, , 
2015/6/9, , 16, 43, 2, , 
2015/6/10, , 18, 38, 3, , 
2015/6/11, , 20, 38, 6, , 
2015/6/12, , 16, 32, 4, , 
2015/6/13, , 8, 25, 2, , 
2015/6/14, , 10, 34, 1, , 
2015/6/15, , 7, 34, 3, , 
2015/6/16, , 9, 33, 2, , 
2015/6/17, , 5, 43, 2, , 
2015/6/18, , 10, 44, 2, , 
2015/6/19, , 14, 31, 1, , 
2015/6/20, , 9, 46, 2, , 
2015/6/21, , 11, 52, 2, , 
2015/6/22, , 13, 57, 4, , 
2015/6/23, , 13, 41, 2, , 
2015/6/24, , 14, 42, 2, , 
2015/6/25, , 12, 57, 4, , 
2015/6/26, , 14, 66, 4, , 
2015/6/27, , 18, 34, 2, , 
2015/6/28, , 14, 45, 2, , 
2015/6/29, , 15, 45, 2, , 
2015/6/30, , 18, 60, 7, , 
2015/1/2, , 21, 30, 14, , 
2015/1/3, , 22, 19, 15, , 
2015/1/4, , 33, 19, 8, , 
2015/1/5, , 13, 8, 16, , 
2015/1/6, , 31, 16, 12, , 
2015/1/7, , 26, 15, 16, , 
2015/1/8, , 30, 22, 13, , 
2015/1/9, , 22, 21, 13, , 
2015/1/10, , 24, 12, 10, , 
2015/1/11, , 25, 28, 4, , 
2015/1/12, , 11, 30, 14, , 
2015/1/13, , 12, 27, 10, , 
2015/1/14, , 13, 24, 10, , 
2015/1/15, , 17, 21, 15, , 
2015/1/16, , 22, 27, 5, , 
2015/1/17, , 8, 28, 4, , 
2015/1/18, , 6, 24, 9, , 
2015/1/19, , 9, 27, 4, , 
2015/1/20, , 15, 24, 13, , 
2015/1/21, , 14, 25, 13, , 
2015/1/22, , 18, 24, 7, , 
2015/1/23, , 12, 24, 5, , 
2015/1/24, , 16, 25, 7, , 
2015/1/25, , 16, 27, 9, , 
2015/1/26, , 14, 26, 8, , 
2015/1/27, , 19, 27, 5, , 
2015/1/28, , 12, 29, 7, , 
2015/1/29, , 8, 30, 2, , 
2015/1/30, , 2, 32, 4, , 
2015/1/31, , 2, 32, 3, , 
2015/2/1, , 5, 30, 2, , 
2015/2/2, , 8, 29, 10, , 
2015/2/3, , 11, 28, 5, , 
2015/2/4, , 14, 23, 9, , 
2015/2/5, , 24, 25, 6, , 
2015/2/6, , 15, 19, 6, , 
2015/2/7, , 19, 21, 9, , 
2015/2/8, , 24, 23, 7, , 
2015/2/9, , 28, 25, 15, , 
2015/2/10, , 32, 26, 18, , 
2015/2/11, , 26, 24, 19, , 
2015/2/12, , 30, 30, 15, , 
2015/2/13, , 30, 35, 5, , 
2015/2/14, , 11, 28, 6, , 
2015/2/15, , 8, 30, 2, , 
2015/2/16, , 5, 32, 7, , 
2015/2/17, , 8, 29, 5, , 
2015/2/18, , 9, 20, 6, , 
2015/2/19, , 13, 27, 10, , 
2015/2/20, , 14, 37, 5, , 
2015/2/21, , 6, 33, 3, , 
2015/2/22, , 10, 35, 2, , 
2015/2/23, , 5, 33, 3, , 
2015/2/24, , 3, 34, 3, , 
2015/2/25, , 9, 31, 4, , 
2015/2/26, , 2, 28, 3, , 
2015/2/27, , 2, 36, 5, , 
2015/2/28, , 8, 32, 5, , 
2015/3/1, , 8, 24, 2, , 
2015/3/2, , 4, 28, 4, , 
2015/3/3, , 5, 28, 5, , 
2015/3/4, , 4, 32, 2, , 
2015/3/5, , 3, 33, 5, , 
2015/3/6, , 3, 31, 8, , 
2015/3/7, , 5, 33, 9, , 
2015/3/8, , 4, 39, 6, , 
2015/3/9, , 4, 33, 8, , 
2015/3/10, , 22, 37, 10, , 
2015/3/11, , 32, 34, 8, , 
2015/3/12, , 37, 38, 5, , 
2015/3/13, , 33, 36, 3, , 
2015/3/14, , 17, 32, 3, , 
2015/3/15, , 5, 32, 5, , 
2015/3/16, , 22, 29, 7, , 
2015/3/17, , 25, 39, 5, , 
2015/3/18, , 9, 38, 9, , 
2015/3/19, , 17, 34, 9, , 
2015/3/20, , 25, 26, 5, , 
2015/3/21, , 34, 28, 5, , 
2015/3/22, , 21, 21, 5, , 
2015/3/23, , 6, 19, 5, , 
2015/3/24, , 8, 33, 4, , 
2015/3/25, , 16, 33, 4, , 
2015/3/26, , 4, 33, 3, , 
2015/3/27, , 8, 37, 2, , 
2015/3/28, , 12, 27, 1, , 
2015/3/29, , 4, 33, 1, , 
2015/3/30, , 5, 37, 1, , 
2015/3/31, , 5, 31, 1, , 
2015/4/1, , 7, 36, 3, , 
2014/10/2, , 12, 33, 5, , 
2014/10/3, , 12, 36, 5, , 
2014/10/4, , 12, 37, 3, , 
2014/10/5, , 16, 28, 1, , 
2014/10/6, , 7, 29, 5, , 
2014/10/7, , 9, 25, 4, , 
2014/10/8, , 11, 27, 5, , 
2014/10/9, , 8, 14, 3, , 
2014/10/10, , 7, 17, 4, , 
2014/10/11, , 6, 23, 2, , 
2014/10/12, , 6, 35, 2, , 
2014/10/13, , 4, 25, 6, , 
2014/10/14, , 7, 25, 4, , 
2014/10/15, , 8, 19, 6, , 
2014/10/16, , 8, 17, 6, , 
2014/10/17, , 9, 20, 6, , 
2014/10/18, , 9, 25, 8, , 
2014/10/19, , 8, 28, 3, , 
2014/10/20, , 21, 25, 5, , 
2014/10/21, , 31, 27, 3, , 
2014/10/22, , 25, 27, 5, , 
2014/10/23, , 12, 24, 7, , 
2014/10/24, , 10, 22, 10, , 
2014/10/25, , 15, 24, 7, , 
2014/10/26, , 25, 23, 5, , 
2014/10/27, , 22, 19, 9, , 
2014/10/28, , 16, 22, 10, , 
2014/10/29, , 17, 25, 9, , 
2014/10/30, , 20, 24, 8, , 
2014/10/31, , 18, 26, 6, , 
2014/11/1, , 22, 25, 6, , 
2014/11/2, , 21, 23, 3, , 
2014/11/3, , 18, 22, 6, , 
2014/11/4, , 9, 27, 2, , 
2014/11/5, , 3, 22, 4, , 
2014/11/6, , 6, 26, 6, , 
2014/11/7, , 6, 24, 9, , 
2014/11/8, , 11, 21, 8, , 
2014/11/9, , 11, 20, 3, , 
2014/11/10, , 10, 17, 8, , 
2014/11/11, , 16, 32, 5, , 
2014/11/12, , 13, 21, 11, , 
2014/11/13, , 20, 15, 13, , 
2014/11/14, , 14, 17, 7, , 
2014/11/15, , 9, 23, 4, , 
2014/11/16, , 6, 24, 4, , 
2014/11/17, , 6, 24, 6, , 
2014/11/18, , 5, 21, 10, , 
2014/11/19, , 11, 15, 13, , 
2014/11/20, , 18, 22, 12, , 
2014/11/21, , 22, 14, 13, , 
2014/11/22, , 17, 12, 9, , 
2014/11/23, , 33, 23, 5, , 
2014/11/24, , 45, 15, 5, , 
2014/11/25, , 31, 5, 6, , 
2014/11/26, , 29, 12, 6, , 
2014/11/27, , 11, 9, 7, , 
2014/11/28, , 5, 25, 12, , 
2014/11/29, , 10, 23, 8, , 
2014/11/30, , 12, 13, 5, , 
2014/12/1, , 17, 15, 4, , 
2014/12/2, , 13, 9, 5, , 
2014/12/3, , 10, 9, 7, , 
2014/12/4, , 6, 8, 9, , 
2014/12/5, , 10, 18, 7, , 
2014/12/6, , 18, 17, 4, , 
2014/12/7, , 10, 27, 3, , 
2014/12/8, , 11, 28, 5, , 
2014/12/9, , 5, 21, 8, , 
2014/12/10, , 12, 25, 5, , 
2014/12/11, , 7, 24, 8, , 
2014/12/12, , 13, 9, 18, , 
2014/12/13, , 24, 10, 16, , 
2014/12/14, , 28, 17, 9, , 
2014/12/15, , 23, 18, 8, , 
2014/12/16, , 19, 25, 6, , 
2014/12/17, , 8, 30, 2, , 
2014/12/18, , 3, 20, 5, , 
2014/12/19, , 4, 20, 5, , 
2014/12/20, , 6, 24, 4, , 
2014/12/21, , 6, 24, 3, , 
2014/12/22, , 12, 5, 13, , 
2014/12/23, , 25, 9, 17, , 
2014/12/24, , 41, 15, 15, , 
2014/12/25, , 35, 27, 2, , 
2014/12/26, , 9, 22, 6, , 
2014/12/27, , 8, 32, 2, , 
2014/12/28, , 8, 29, 1, , 
2014/12/29, , 7, , , , 
2014/7/2, , 12, 21, 3, , 
2014/7/3, , 8, 20, 4, , 
2014/7/4, , 10, 35, 1, , 
2014/7/5, , 8, 29, 2, , 
2014/7/6, , 6, 22, 1, , 
2014/7/7, , 12, 26, 2, , 
2014/7/8, , 3, 26, 2, , 
2014/7/9, , 3, 24, 1, , 
2014/7/10, , 2, 26, 2, , 
2014/7/11, , 9, 28, 2, , 
2014/7/12, , 8, 27, 1, , 
2014/7/13, , 7, 24, , , 
2014/7/14, , 5, 23, 1, , 
2014/7/15, , 6, 35, 2, , 
2014/7/16, , 10, 40, 3, , 
2014/7/17, , 11, 51, 4, , 
2014/7/18, , 17, 39, 2, , 
2014/7/19, , 23, 32, 1, , 
2014/7/20, , 15, 26, , , 
2014/7/21, , 10, 24, 1, , 
2014/7/22, , 7, 29, 1, , 
2014/7/23, , 7, 44, 3, , 
2014/7/24, , 10, 42, 2, , 
2014/7/25, , 17, 38, 1, , 
2014/7/26, , 14, 45, 1, , 
2014/7/27, , 13, 47, 1, , 
2014/7/28, , 16, 41, 1, , 
2014/7/29, , 13, 33, 1, , 
2014/7/30, , 6, 38, 3, , 
2014/7/31, , 10, 39, 2, , 
2014/8/1, , 12, 26, 3, , 
2014/8/2, , 11, 29, 2, , 
2014/8/3, , 8, 30, 1, , 
2014/8/4, , 8, 22, 3, , 
2014/8/5, , 8, 32, 2, , 
2014/8/6, , 8, 33, 2, , 
2014/8/7, , 12, 21, 3, , 
2014/8/8, , 9, 36, 2, , 
2014/8/9, , 10, 27, 1, , 
2014/8/10, , 8, 32, 1, , 
2014/8/11, , 12, 24, 1, , 
2014/8/12, , 9, 21, 2, , 
2014/8/13, , 8, 30, 1, , 
2014/8/14, , 7, 25, 2, , 
2014/8/15, , 7, 29, 1, , 
2014/8/16, , 9, 33, 1, , 
2014/8/17, , 8, 30, 2, , 
2014/8/18, , 7, 23, 3, , 
2014/8/19, , 12, 26, 3, , 
2014/8/20, , 9, 23, 3, , 
2014/8/21, , 12, 25, 2, , 
2014/8/22, , 9, 19, 3, , 
2014/8/23, , 11, 25, 1, , 
2014/8/24, , 6, 28, 1, , 
2014/8/25, , 7, 38, 3, , 
2014/8/26, , 12, 30, 3, , 
2014/8/27, , 15, 21, 1, , 
2014/8/28, , 5, 27, 2, , 
2014/8/29, , 8, 19, 3, , 
2014/8/30, , 6, 16, 1, , 
2014/8/31, , 8, 29, 1, , 
2014/9/1, , 11, 29, 2, , 
2014/9/2, , 8, 34, 3, , 
2014/9/3, , 12, 40, 5, , 
2014/9/4, , 10, 38, 3, , 
2014/9/5, , 17, 32, 3, , 
2014/9/6, , 15, 31, 3, , 
2014/9/7, , 11, 29, 2, , 
2014/9/8, , 15, 34, 5, , 
2014/9/9, , 8, 35, 4, , 
2014/9/10, , 9, 41, 4, , 
2014/9/11, , 9, 37, 4, , 
2014/9/12, , 13, 43, 3, , 
2014/9/13, , 15, 44, 4, , 
2014/9/14, , 13, 27, 3, , 
2014/9/15, , 12, 28, 5, , 
2014/9/16, , 6, 29, 6, , 
2014/9/17, , 8, 33, 5, , 
2014/9/18, , 7, 31, 4, , 
2014/9/19, , 12, 36, 3, , 
2014/9/20, , 6, 33, 3, , 
2014/9/21, , 8, 31, 2, , 
2014/9/22, , 6, 22, 6, , 
2014/9/23, , 11, 26, 4, , 
2014/9/24, , 17, 32, 3, , 
2014/9/25, , 25, 33, 5, , 
2014/9/26, , 20, 36, 7, , 
2014/9/27, , 16, 34, 5, , 
2014/9/28, , 17, 27, 5, , 
2014/9/29, , 13, 27, 6, , 
2014/9/30, , 14, 23, 3, , 
2014/10/1, , 17, 28, 4, , 
2014/4/2, , 16, 33, 7, , 
2014/4/3, , 25, 31, 4, , 
2014/4/4, , 13, 34, 4, , 
2014/4/5, , 5, 29, 4, , 
2014/4/6, , 6, 30, 3, , 
2014/4/7, , 5, 35, 1, , 
2014/4/8, , 9, 28, 3, , 
2014/4/9, , 8, 33, 2, , 
2014/4/10, , 8, 40, 5, , 
2014/4/11, , 10, 36, 2, , 
2014/4/12, , 15, 33, 2, , 
2014/4/13, , 24, 37, 2, , 
2014/4/14, , 18, 40, 5, , 
2014/4/15, , 10, 41, 6, , 
2014/4/16, , 12, 43, 7, , 
2014/4/17, , 15, 46, 4, , 
2014/4/18, , 14, 46, 4, , 
2014/4/19, , 12, 41, 2, , 
2014/4/20, , 15, 33, 2, , 
2014/4/21, , 10, 28, 3, , 
2014/4/22, , 5, 29, 4, , 
2014/4/23, , 7, 34, 1, , 
2014/4/24, , 7, 36, 2, , 
2014/4/25, , 10, 36, 2, , 
2014/4/26, , 4, 37, 2, , 
2014/4/27, , 4, 35, 1, , 
2014/4/28, , 7, 34, 2, , 
2014/4/29, , 4, 27, 2, , 
2014/4/30, , 5, 25, 2, , 
2014/5/1, , 3, 29, 1, , 
2014/5/2, , 4, 29, 2, , 
2014/5/3, , 4, 37, 2, , 
2014/5/4, , 5, 39, 1, , 
2014/5/5, , 7, 42, 5, , 
2014/5/6, , 6, 37, 4, , 
2014/5/7, , 14, 28, 4, , 
2014/5/8, , 17, 34, 2, , 
2014/5/9, , 10, 28, 1, , 
2014/5/10, , 11, 27, 1, , 
2014/5/11, , 7, 31, , , 
2014/5/12, , 5, 30, 3, , 
2014/5/13, , 9, 31, 2, , 
2014/5/14, , 7, 36, 3, , 
2014/5/15, , 7, 41, 3, , 
2014/5/16, , 7, 43, 4, , 
2014/5/17, , 8, 44, 2, , 
2014/5/18, , 9, 44, 2, , 
2014/5/19, , 9, 44, 2, , 
2014/5/20, , 31, 34, 2, , 
2014/5/21, , 8, 39, 3, , 
2014/5/22, , 9, 36, 1, , 
2014/5/23, , 6, 33, 3, , 
2014/5/24, , 4, 31, 2, , 
2014/5/25, , 8, 29, 1, , 
2014/5/26, , 6, 31, 2, , 
2014/5/27, , 2, 36, 3, , 
2014/5/28, , 4, 26, 3, , 
2014/5/29, , 8, 29, 1, , 
2014/5/30, , 4, 31, 1, , 
2014/5/31, , 5, 32, 1, , 
2014/6/1, , 6, 39, , , 
2014/6/2, , 6, 42, 1, , 
2014/6/3, , 11, 33, 2, , 
2014/6/4, , 8, 28, 1, , 
2014/6/5, , 6, 34, 1, , 
2014/6/6, , 2, 43, 5, , 
2014/6/7, , 18, 41, 1, , 
2014/6/8, , 21, 42, 1, , 
2014/6/9, , 16, 36, , , 
2014/6/10, , 15, 27, 1, , 
2014/6/11, , 17, 35, 1, , 
2014/6/12, , 12, 43, 2, , 
2014/6/13, , 15, 40, 2, , 
2014/6/14, , 14, 46, 1, , 
2014/6/15, , 16, 37, , , 
2014/6/16, , 15, 36, 1, , 
2014/6/17, , 12, 44, 2, , 
2014/6/18, , 13, 37, 1, , 
2014/6/19, , 14, 43, 2, , 
2014/6/20, , 11, 48, 4, , 
2014/6/21, , 16, 58, 2, , 
2014/6/22, , 15, 35, 1, , 
2014/6/23, , 25, 34, 2, , 
2014/6/24, , 12, 34, 2, , 
2014/6/25, , 11, 42, 2, , 
2014/6/26, , 12, 35, 1, , 
2014/6/27, , 12, 36, 3, , 
2014/6/28, , 9, 36, 1, , 
2014/6/29, , 13, 21, , , 
2014/6/30, , 6, 29, 2, , 
2014/7/1, , 4, 30, 3, , 
2014/1/2, , 17, 23, 8, , 
2014/1/3, , 12, 19, 10, , 
2014/1/4, , 12, 33, 4, , 
2014/1/5, , 5, 29, 5, , 
2014/1/6, , 9, 16, 7, , 
2014/1/7, , 14, 5, 15, , 
2014/1/8, , 27, , 15, , 
2014/1/9, , 30, 15, 18, , 
2014/1/10, , 23, 8, 15, , 
2014/1/11, , 34, 7, 6, , 
2014/1/12, , 38, 23, 10, , 
2014/1/13, , 19, 26, 5, , 
2014/1/14, , 10, 26, 6, , 
2014/1/15, , 4, 21, 7, , 
2014/1/16, , 7, , , , 
2014/1/22, , 24, 28, 6, , 
2014/1/23, , 10, 30, 5, , 
2014/1/24, , 7, 34, 2, , 
2014/1/25, , 4, 28, 2, , 
2014/1/26, , 4, 24, 2, , 
2014/1/27, , 3, 33, 2, , 
2014/1/28, , 4, 32, 4, , 
2014/1/29, , 1, 28, 8, , 
2014/1/30, , 9, 28, 5, , 
2014/1/31, , 7, 29, 7, , 
2014/2/1, , 8, 31, 5, , 
2014/2/2, , 11, 28, 6, , 
2014/2/3, , 6, 21, 16, , 
2014/2/4, , 14, 30, 5, , 
2014/2/5, , 7, 30, 5, , 
2014/2/6, , 8, 28, 7, , 
2014/2/7, , 6, 30, 5, , 
2014/2/8, , 6, 32, 3, , 
2014/2/9, , 5, 29, 6, , 
2014/2/10, , 5, 31, 2, , 
2014/2/11, , 5, 32, 6, , 
2014/2/12, , 6, 31, 12, , 
2014/2/13, , 15, 30, 8, , 
2014/2/14, , 18, 19, 8, , 
2014/2/15, , 8, 23, 6, , 
2014/2/16, , 13, 26, 6, , 
2014/2/17, , 16, 22, 14, , 
2014/2/18, , 22, 21, 13, , 
2014/2/19, , 26, 28, 7, , 
2014/2/20, , 17, 28, 10, , 
2014/2/21, , 21, 31, 6, , 
2014/2/22, , 9, 32, 3, , 
2014/2/23, , 10, 32, 10, , 
2014/2/24, , 12, 32, 14, , 
2014/2/25, , 23, 33, 8, , 
2014/2/26, , 18, 29, 5, , 
2014/2/27, , 7, 32, 3, , 
2014/2/28, , 10, 32, 4, , 
2014/3/1, , 10, 30, 4, , 
2014/3/2, , 7, 25, 5, , 
2014/3/3, , 11, 36, 2, , 
2014/3/4, , 5, 33, 3, , 
2014/3/5, , 8, 26, 7, , 
